номер;на день в общем;на любовь/отношения;на работу и финансы
0;Судьбоносные перспективы, новые дела и задачи. Вы – открыты и спонтанны, а ощущение полной свободы – лучшая опора в новых начинаниях. Вам только и нужно, что двигаться по течению, не боясь свернуть с намеченного пути. Ключ к успеху кроется в необходимости начинать «новый лист», не оглядываясь на прошлое.;Положительные перемены в отношениях, шаг вперед. Флирт, легкий и приятный роман.  Безалаберность. Шуту чужда ответственность, и следует иметь в виду, что предпринятый шаг может казаться серьезным, но вместе с этим вся ответственность перейдет на вторую половину.;Опрометчивость. Необдуманные поступки. Иногда, смена работы. Неожиданная прибыль любого свойства. Не забывайте, что ваши стихии – это свобода и творчество, и постоянное место работы попросту не для Вас. Вы способны создать что-то новое и поразить этим других. Помните, что потом эти деньги также легко уйдут.
1;Успех, полная победа. Мудрые решения. Лидерство. Энтузиазм и личная энергия. Покровительство сильного и умного человека. Ваши внутренние ресурсы неиссякаемы, а способности практически безграничны. Основная задача – активно развивать способность к самопознанию, не ожидая знака свыше. Научитесь следовать за своей интуицией, продумывая каждый шаг. ;Крепкой паре карта обещает новый виток отношений, в противном случае Маг говорит о независимости, отсутствии привязанности у партнеров. Одиночество. Однако, тому, кто всегда находится в центре внимания, зачастую недостаёт решительности. Для того, чтобы новые возможности открылись, с уверенностью делайте первый шаг, – вы как никто иной знаете, как добиться желаемого!;Удачный день для поиска работы. Интересные идеи, касательные бизнеса. Покровительство Фортуны во всех начинаниях. Ваши лидерские качества не знают равных, и окружающие сами захотят того, чтобы Вы повели их за собой. Любые начинания на деловом и финансовом поприще обречены на успех. Немного решительности – и мечта станет реальностью!
2;"Верховная Жрица символизирует скрытые, еще не обнаруженные истины. Каким бы сильным не было желание предугадать будущее, все будет зависеть от Ваших действий в настоящем. Необходимо стремиться к знаниям как к способу развития потенциала!
Сложность в делах, недостаток информации. Сплетни, обсуждения. Неприятность от женщины. Полная неясность происходящего. Жрица может означать магическое влияние на человека.";Слишком много лжи и недоверия в паре. Любовь иссякает. Ревность. Возможна измена. Иногда, любовный приворот. Отсутствии заинтересованности гадающего в близких отношениях с кем-либо. В период отношений есть некий секрет, который Вы не желаете раскрывать. Уверенность в себе и нежелание соглашаться на меньшее может длиться долгое время.;Дела требуют новаторского решения. Полная неразбериха. Задержка планов. Несуразица. Нельзя торопиться с выбором. Карта говорит об определённой свободе и независимости от материальных благ, она всегда может легко отказаться от денег, предпочитая путь творческого развития материальным ценностям. Не торопитесь, и Ваша работа принесёт желаемые плоды.
3;Карта символизирует становление женского начала, необходимость правильного направления этой бушующей энергии. Императрица – символ плодородия и материнства, ее женская энергия имеет созидательное свойство и создана для того, чтобы нести добро. Творчество и духовное развитие. Привязанность мудрой и смелой женщины. Карта дня обещает успешный день и реализацию всего задуманного.;Признание в любви или предложение замужества. Новое знакомство с последующим бракосочетанием. Важное свидание. Эта карта ведёт прямиком под венец или роддом, означает пик гармонии в семейных отношениях. Недопонимания и прочие отрицательные эмоции должны остаться в прошлом, уступив дорогу белой полосе. Всепоглощающая положительная энергетика поведет Вас в правильном направлении!;Физическая и умственная активность приведёт к успеху. Движение вперёд. Карьерный рост. Выгодный партнёр. Перспективное трудоустройство. Прямая Императрица благоприятна в денежном плане, говорит о том, что перед Вами откроются новые возможности и многообещающие перспективы. Вы – тот человек, который может сплотить коллектив и привести его к успеху, благодаря своим лидерским качествам!
4;Все, о чем думалось, необходимо реализовать. Проявление храбрости, геройство. Самоконтроль. Бесспорное лидерство. Вы устремлены к власти, обладая при этом достаточными смелостью и волей для принятия необходимых решений на пути к поставленной цели. Самое главное – это вовремя ощутить чувство меры в требованиях, предъявляемых к себе и окружающему миру, не допустить переизбытка энергии, ведущего в никуда!;Семейный уют, но для женщины может означать мужа или любовника-тирана. Превозношение мужчины в паре. Положение карты Императора соответствует укреплению отношений, доказавших свою прочность, основанных на взаимном уважении и дружбе. Вы – стабильны, Ваша семья устойчива и в ней царит взаимопонимание. У карты имеется и критический аспект, который может означать утрату иллюзий и вести в тупик.;Мощное покровительство вышестоящих. Благосклонность властей. Поиск финансовой выгоды. Умение контролировать дела. Продвижение по карьерной лестнице. Выгодное трудоустройство. Сейчас Вы устремлены к наведению порядка в своих делах и осуществлению сокровенных намерений. Вы готовы много трудиться и не ждете послаблений судьбы, целиком полагаясь на собственные усилия. Будьте решительны и настойчивы, получение желаемой должности или появление сильного покровителя не заставят себя долго ждать!
5;Добрые вести. Дружеские встречи, застолье. Альтруизм и желание развиваться. Обучение новому. Религиозность. Вы – несомненно просвещенная личность и непоколебимый авторитет для тех, кто приходит к Вам за помощью. Своей тесной связью с духовным миром прокладываете мост между человеком и Высшей силой, приносите людям надежду на спасение души. Прислушиваясь к внутреннему голосу и интуиции, Вы не прогадаете.;"Возникновение духовной связи между партнерами, гармония во взаимоотношениях Любовь-дружба. Поддержка в трудную минуту. Приятные знакомства. Вы не живете напоказ, являясь в то же время положительным авторитетом среди окружающих.

";Удачно все, что не связано с материальной выгодой. Благотворительность. Налаживание отношений в коллективе. Повышение квалификации. Собеседования, но вряд ли приведут к трудоустройству. В какой бы сфере Вы не попробовали себя в качестве учителя, это будет способствовать увеличению дохода.
6;Борьба, в которой будет одержана победа. Молниеносная сообразительность. От принятого решения зависит будущее вопрошающего. Крутой поворот в судьбе. Дальняя дорога или переезд.  Вы находитесь на эмоциональном подъёме, полны любви к окружающему миру. Для достижения таинства жизни стремитесь к внутренней целостности, единству внутри себя.;Платоническая любовь. Сильная привязанность. Верность. Любовные объяснения. Редко, любовная связь на работе. Для одиночки – важное знакомство, роман. Прямое положение этой карты утверждает, что очень скоро вас ждёт невероятная настоящая любовь, так как Влюбленные – одна из лучших карт, указывающих на позитивные и эмоциональные отношения. ;Все стабильно. Есть время на поиски и обдумывания. Доход «из вне». Прямая карта призывает Вас объединить усилия с единомышленниками, нацелившись на командную работу. Хотите достигать вершин – сделайте ставку на взаимовыручку, исключающую чьё-либо лидерство. Уступайте, чтобы добиться успеха, не бойтесь жертвовать личными интересами ради достижения результата!
7;Недопонимания, ссоры, споры и разногласия. Испытание, которое по силам гадающему. Война, военные действия. Сильные переживания. Крупная покупка. недопонимания, ссоры, споры и разногласия. Испытание, которое по силам гадающему. Война, военные действия. Сильные переживания. Крупная покупка.;Глубокое уважение и взаимопонимание в паре. Прощение и примирение. Одиноких прямая карта ведёт вас в сторону новых ощущений. Возможен курортный роман или другой непривычный формат отношений. Вы стоите на пути преодоления внутренних преград, тем самым развивая свои способности и любовные чакры. Нет никакой необходимости сдерживать чувства!;Деловые поездки. Борьба приведёт к успеху. Внутри коллективные разногласия. Спорные моменты. Поиск компромисса. Удачный день для устройства на работу автомобилистам. Карта в прямом виде обещает стремительно вознести по служебной лестнице. В отличие от остальных, вы именно тот, кто способен к длительным перегрузкам, не сходя к дистанции, и динамичной точной работе. Вас также ждёт возможность значительно приумножить капитал своей активностью.
8;Все побеждающая нежность и благородство. Интуиция, которая подскажет верное направление. Необходимость целиком отдаться ситуации. Череда яркой активности и подзарядки. Вашей беспокойной натуре сопутствуют различные порывы и импульсы, это — ваш личный лев, которого нужно постараться приручить. Ваша цель не в том, чтобы скрыть свои животные инстинкты и бурю страсти от лишних глаз, а в том, чтобы научиться их укрощать со спокойным упорством и любовью. ;Полная гармония во всех сферах отношений. Темперамент, который следует сдерживать во время конфликта. НО неготовность к законному браку. Значение Силы Таро в отношениях при прямом положении карты кроется в яркости порывов и новизне чувств, обещает превосходную совместимость партнеров, горящую страсть. Скука вам точно не страшна.;Взаимовыгодные соглашения. Перспектива большого финансового потока. Неплохо оплачиваемое трудоустройство. При прямом положении карты можно говорить о том, что вы точно умеете распоряжаться деньгами и при этом не являетесь материалистом. Аркан обещает хорошую должность и сулит проявление профессиональных качеств на самом высоком уровне. Вам не нужна помощь, так как все свои достижения вы заслужите сами!
9; Учение. Лучше молчать и думать, скрывать свои мысли. Скрытые помыслы. Нет решений на поверхности. Вы отказались от стремления к финансовым и прочим материальным благам. Ведь важнее не приобрести весь мир, а не навредить своей душе. Для этого и нужна дорога, длящаяся порой так долго, что может превратить искателя в старца. Однако именно сейчас вы ступили на путь познания.;Нежелание уступать. Соперничество внутри пары. Непонимание собственных чувств и желаний. Платоническая, «случайная» любовь к тому, с кем никогда не будет встречи. Прямое положение карты говорит о вашем одиночестве, которое не терпится прервать. Если у вас есть любимый человек – Отшельник имеет неблагоприятное значение и говорит о недостатке глубоких чувств друг к другу. В случае же законного брака – выйдите на новый уровень развития отношений, а недомолвки останутся в прошлом.; Невысокий стабильный доход. Нет ни развития, ни спада. Бесполезные контакты. Нерезультативность переговоров. Выход на пенсию или смена деятельности. При прямом положении карты обратите внимание на то, что важно получать моральное удовлетворение от выбранной деятельности, невзирая на финансовое вознаграждение. Следует ставить глобальные цели, это поможет Вам достигнуть успеха!
